Importance,Feature
0.0801442029422428,Feature 1
0.005789289591853519,Feature 2
0.14489512461798293,Feature 3
0.004025823605776172,Feature 4
1.4240309813626288,Feature 5
0.19825215478137745,Feature 6
142.97127663435865,Feature 7
143.17293061382327,Feature 8
146.47374156896748,Feature 9
178.7987221710865,Feature 10
157.7734520572825,Feature 11
95.09638104915807,Feature 12
1.0937568627051617,Feature 13
1.4137615087725866,Feature 14
0.015065057217510136,Feature 15
0.23367861912148985,Feature 16
2.3956694079449354,Feature 17
0.009729833844168645,Feature 18
16.25217145401385,Feature 19
14.313813724128272,Feature 20
6.089793527100949,Feature 21
18.63324307416787,Feature 22
4.058680771752964,Feature 23
13.061772927539426,Feature 24
0.0021364665662165073,Feature 25
0.4761518380551113,Feature 26
0.02631541971068182,Feature 27
0.008041272359754971,Feature 28
0.054712768752158136,Feature 29
0.0,Feature 30
2.268837589280003,Feature 31
10.912975190096818,Feature 32
11.67509126159475,Feature 33
7.603258940620868,Feature 34
8.413203905706407,Feature 35
6.067534473049981,Feature 36
0.01655009047158995,Feature 37
0.03156345762590092,Feature 38
0.014851870876448079,Feature 39
0.02889652538288877,Feature 40
0.002856323253781411,Feature 41
0.08932874361135378,Feature 42
0.507297684616187,Feature 43
3.183187009449328,Feature 44
2.8651723539758693,Feature 45
0.0155748304323221,Feature 46
0.018801904307478884,Feature 47
2.0028816403165,Feature 48
